User 1 starts with 16 bitcoin(s).
User 2 starts with 13 bitcoin(s).
User 3 starts with 63 bitcoin(s).
User 5 starts with 73 bitcoin(s).
User 6 starts with 40 bitcoin(s).
User 8 starts with 43 bitcoin(s).
User 9 starts with 43 bitcoin(s).
User 10 starts with 53 bitcoin(s).
User 6 gives 9 bitcoin(s) to 4.
User 4 gives 7 bitcoin(s) to 10.
User 8 gives 3 bitcoin(s) to 2.
User 5 gives 20 bitcoin(s) to 4.
User 1 gives 1 bitcoin(s) to 8.
User 2 gives 5 bitcoin(s) to 10.
User 6 gives 8 bitcoin(s) to 2.
User 9 gives 15 bitcoin(s) to 3.
User 9 gives 1 bitcoin(s) to 4.
User 6 gives 17 bitcoin(s) to 2.
User 1 gives 5 bitcoin(s) to 7.
User 3 gives 20 bitcoin(s) to 1.
User 9 gives 17 bitcoin(s) to 7.
User 7 gives 14 bitcoin(s) to 4.
User 3 gives 16 bitcoin(s) to 4.
User 10 gives 12 bitcoin(s) to 7.
User 1 gives 3 bitcoin(s) to 9.
User 6 gives 6 bitcoin(s) to 2.
User 1 gives 2 bitcoin(s) to 6.
User 9 gives 9 bitcoin(s) to 7.
User 3 gives 7 bitcoin(s) to 4.
User 1 gives 1 bitcoin(s) to 4.
User 2 gives 9 bitcoin(s) to 7.
User 5 gives 5 bitcoin(s) to 6.
User 9 gives 1 bitcoin(s) to 7.
User 3 gives 16 bitcoin(s) to 6.
User 8 gives 5 bitcoin(s) to 5.
User 10 gives 16 bitcoin(s) to 6.
User 3 gives 2 bitcoin(s) to 1.
User 4 gives 11 bitcoin(s) to 9.
User 1 gives 6 bitcoin(s) to 7.
User 6 gives 4 bitcoin(s) to 4.
User 2 gives 19 bitcoin(s) to 1.
User 5 gives 20 bitcoin(s) to 2.
User 10 gives 2 bitcoin(s) to 7.
User 5 gives 8 bitcoin(s) to 2.
User 9 gives 14 bitcoin(s) to 10.
User 8 gives 12 bitcoin(s) to 10.
User 10 gives 15 bitcoin(s) to 6.
User 3 gives 17 bitcoin(s) to 1.
User 8 gives 2 bitcoin(s) to 10.
User 5 gives 15 bitcoin(s) to 3.
User 10 gives 17 bitcoin(s) to 2.
User 1 gives 13 bitcoin(s) to 6.
User 2 gives 13 bitcoin(s) to 9.
User 6 gives 16 bitcoin(s) to 7.
User 9 gives 2 bitcoin(s) to 6.
User 5 gives 8 bitcoin(s) to 9.
User 8 gives 15 bitcoin(s) to 1.
User 10 gives 17 bitcoin(s) to 7.
User 7 gives 5 bitcoin(s) to 10.
User 5 gives 2 bitcoin(s) to 3.
User 10 gives 19 bitcoin(s) to 3.
User 1 gives 5 bitcoin(s) to 8.
User 1 gives 5 bitcoin(s) to 3.
User 8 gives 3 bitcoin(s) to 5.
User 1 gives 16 bitcoin(s) to 8.
User 7 gives 2 bitcoin(s) to 8.
User 1 gives 16 bitcoin(s) to 10.
User 8 gives 5 bitcoin(s) to 4.
User 3 gives 3 bitcoin(s) to 4.
User 3 gives 18 bitcoin(s) to 10.
User 3 gives 4 bitcoin(s) to 9.
User 4 gives 10 bitcoin(s) to 10.
User 5 gives 3 bitcoin(s) to 4.
User 2 gives 16 bitcoin(s) to 9.
User 8 gives 1 bitcoin(s) to 3.
User 4 gives 16 bitcoin(s) to 10.
User 2 gives 11 bitcoin(s) to 4.
User 7 gives 11 bitcoin(s) to 10.
User 8 gives 20 bitcoin(s) to 5.
User 5 gives 2 bitcoin(s) to 1.
User 2 gives 19 bitcoin(s) to 10.
User 6 gives 1 bitcoin(s) to 1.
User 4 gives 4 bitcoin(s) to 6.
User 1 gives 14 bitcoin(s) to 2.
User 8 gives 1 bitcoin(s) to 1.
User 3 gives 4 bitcoin(s) to 7.
User 6 gives 9 bitcoin(s) to 4.
User 1 gives 6 bitcoin(s) to 4.
User 4 gives 14 bitcoin(s) to 8.
User 9 gives 15 bitcoin(s) to 3.
User 2 gives 12 bitcoin(s) to 9.
User 3 gives 14 bitcoin(s) to 2.
User 3 gives 2 bitcoin(s) to 8.
User 6 gives 11 bitcoin(s) to 1.
User 4 gives 6 bitcoin(s) to 3.
User 4 gives 15 bitcoin(s) to 2.
User 3 gives 12 bitcoin(s) to 8.
User 2 gives 8 bitcoin(s) to 6.
